"Item type","Authors","Editors","Title","Journal","Journal (full title)","Book title","Website name","Proceedings title","Source","How published","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Institution","Number","Publisher","Publisher place","Conference","Conference location","Conference date","Date published","Date","Date accessed","ISBN","ISBN (alt.)","ISSN","ISSN (alt.)","URLs","DOI","PMID","Arxiv ID","Associated DOI","Abstract","Keywords","Notes","Copyright","Affiliation","Language","Subtype","Series","Series number","Archive prefix","Eprint ID","Primary class","Page count","University","Department","Collection","Inventors","Assignee","Issuing authority","Patent number","Date filed","Type of patent","Issuing office full name","Application number","Presenter","Attachments","University place","Level of thesis","Series Number","Library catalog/database"
"Journal article","Gan C,Wang W,Hu Y,Zhao X,Dun S,Xiao Q,Wang W,Huang H","","Coupling secret sharing with decentralized server-aided encryption in encrypted deduplication","Appl. Sci. (Basel)","Applied sciences (Basel, Switzerland)","","","","","","2025","","","","All","","","","mdpi.com","","","","","2025-01-26","","","","","2076-3417","","https://www.mdpi.com/2076-3417/15/3/1245;http://dx.doi.org/10.3390/app15031245","10.3390/app15031245","","","","Outsourcing storage to the cloud can save storage costs and is commonly used in businesses. It should fulfill two major goals: storage efficiency and data confidentiality. Encrypted deduplication can achieve both goals via performing deduplication to eliminate the duplicate data within encrypted data. Traditional encrypted deduplication generates the encryption key on the client side, which poses a risk of offline brute-force cracking of the outsourced data. Server-aided encryption schemes have been proposed to strengthen the confidentiality of encrypted deduplication by distributing the encryption process to dedicated servers. Existing schemes rely on expensive cryptographic primitives to provide a decentralized setting on the dedicated servers for scalability. However, this incurs substantial performance slowdown and can not be applied in practical encrypted deduplication storage systems. In this paper, we propose a new decentralized server-aided encrypted deduplication approach for outsourced storage, called ECDedup, which leverages secret sharing to achieve secure and efficient key management. We are the first to use the coding matrix as the encryption key to couple the encryption and encoding processes in encrypted deduplication. We also propose a acceleration scheme to speed up the encryption process of our ECDedup. We prototype ECDedup in cloud environments, and our experimental results based on the real-world backup datasets show that ECDedup can improve the client throughput by up to 51.9% compared to the state-of-the-art encrypted deduplication schemes.","","","","","","","","","","","","","","","","","","","","","","","","","All Papers/G/Gan et al. 2025 - Coupling secret sharing with decentralized server-aided encryption in encrypted deduplication.pdf","","","",""
"Preprint","DeepSeek-AI,Liu A,Feng B,Xue B,Wang B,Wu B,Lu C,Zhao C,Deng C,Zhang C,Ruan C,Dai D,Guo D,Yang D,Chen D,Ji D,Li E,Lin F,Dai F,Luo F,Hao G,Chen G,Li G,Zhang H,Bao H,Xu H,Wang H,Zhang H,Ding H,Xin H,Gao H,Li H,Qu H,Cai JL,Liang J,Guo J,Ni J,Li J,Wang J,Chen J,Chen J,Yuan J,Qiu J,Li J,Song J,Dong K,Hu K,Gao K,Guan K,Huang K,Yu K,Wang L,Zhang L,Xu L,Xia L,Zhao L,Wang L,Zhang L,Li M,Wang M,Zhang M,Zhang M,Tang M,Li M,Tian N,Huang P,Wang P,Zhang P,Wang Q,Zhu Q,Chen Q,Du Q,Chen RJ,Jin RL,Ge R,Zhang R,Pan R,Wang R,Xu R,Zhang R,Chen R,Li SS,Lu S,Zhou S,Chen S,Wu S,Ye S,Ye S,Ma S,Wang S,Zhou S,Yu S,Zhou S,Pan S,Wang T,Yun T,Pei T,Sun T,Xiao WL,Zeng W,Zhao W,An W,Liu W,Liang W,Gao W,Yu W,Zhang W,Li XQ,Jin X,Wang X,Bi X,Liu X,Wang X,Shen X,Chen X,Zhang X,Chen X,Nie X,Sun X,Wang X,Cheng X,Liu X,Xie X,Liu X,Yu X,Song X,Shan X,Zhou X,Yang X,Li X,Su X,Lin X,Li YK,Wang YQ,Wei YX,Zhu YX,Zhang Y,Xu Y,Xu Y,Huang Y,Li Y,Zhao Y,Sun Y,Li Y,Wang Y,Yu Y,Zheng Y,Zhang Y,Shi Y,Xiong Y,He Y,Tang Y,Piao Y,Wang Y,Tan Y,Ma Y,Liu Y,Guo Y,Wu Y,Ou Y,Zhu Y,Wang Y,Gong Y,Zou Y,He Y,Zha Y,Xiong Y,Ma Y,Yan Y,Luo Y,You Y,Liu Y,Zhou Y,Wu ZF,Ren ZZ,Ren Z,Sha Z,Fu Z,Xu Z,Huang Z,Zhang Z,Xie Z,Zhang Z,Hao Z,Gou Z,Ma Z,Yan Z,Shao Z,Xu Z,Wu Z,Zhang Z,Li Z,Gu Z,Zhu Z,Liu Z,Li Z,Xie Z,Song Z,Gao Z,Pan Z","","DeepSeek-V3 Technical Report","","","","","","arXiv [cs.CL]","","2024","","","","All","","","","","","","","","2024-12-26","","","","","","","http://arxiv.org/abs/2412.19437","","","2412.19437","","We present DeepSeek-V3, a strong Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token. To achieve efficient inference and cost-effective training, DeepSeek-V3 adopts Multi-head Latent Attention (MLA) and DeepSeekMoE architectures, which were thoroughly validated in DeepSeek-V2. Furthermore, DeepSeek-V3 pioneers an auxiliary-loss-free strategy for load balancing and sets a multi-token prediction training objective for stronger performance. We pre-train DeepSeek-V3 on 14.8 trillion diverse and high-quality tokens, followed by Supervised Fine-Tuning and Reinforcement Learning stages to fully harness its capabilities. Comprehensive evaluations reveal that DeepSeek-V3 outperforms other open-source models and achieves performance comparable to leading closed-source models. Despite its excellent performance, DeepSeek-V3 requires only 2.788M H800 GPU hours for its full training. In addition, its training process is remarkably stable. Throughout the entire training process, we did not experience any irrecoverable loss spikes or perform any rollbacks. The model checkpoints are available at https://github.com/deepseek-ai/DeepSeek-V3.","","","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","","","","","","arXiv","2412.19437","cs.CL","","","","","","","","","","","","","","All Papers/D/DeepSeek-AI et al. 2024 - DeepSeek-V3 Technical Report.pdf","","","",""
"Preprint","DeepSeek-AI,Guo D,Yang D,Zhang H,Song J,Zhang R,Xu R,Zhu Q,Ma S,Wang P,Bi X,Zhang X,Yu X,Wu Y,Wu ZF,Gou Z,Shao Z,Li Z,Gao Z,Liu A,Xue B,Wang B,Wu B,Feng B,Lu C,Zhao C,Deng C,Zhang C,Ruan C,Dai D,Chen D,Ji D,Li E,Lin F,Dai F,Luo F,Hao G,Chen G,Li G,Zhang H,Bao H,Xu H,Wang H,Ding H,Xin H,Gao H,Qu H,Li H,Guo J,Li J,Wang J,Chen J,Yuan J,Qiu J,Li J,Cai JL,Ni J,Liang J,Chen J,Dong K,Hu K,Gao K,Guan K,Huang K,Yu K,Wang L,Zhang L,Zhao L,Wang L,Zhang L,Xu L,Xia L,Zhang M,Zhang M,Tang M,Li M,Wang M,Li M,Tian N,Huang P,Zhang P,Wang Q,Chen Q,Du Q,Ge R,Zhang R,Pan R,Wang R,Chen RJ,Jin RL,Chen R,Lu S,Zhou S,Chen S,Ye S,Wang S,Yu S,Zhou S,Pan S,Li SS,Zhou S,Wu S,Ye S,Yun T,Pei T,Sun T,Wang T,Zeng W,Zhao W,Liu W,Liang W,Gao W,Yu W,Zhang W,Xiao WL,An W,Liu X,Wang X,Chen X,Nie X,Cheng X,Liu X,Xie X,Liu X,Yang X,Li X,Su X,Lin X,Li XQ,Jin X,Shen X,Chen X,Sun X,Wang X,Song X,Zhou X,Wang X,Shan X,Li YK,Wang YQ,Wei YX,Zhang Y,Xu Y,Li Y,Zhao Y,Sun Y,Wang Y,Yu Y,Zhang Y,Shi Y,Xiong Y,He Y,Piao Y,Wang Y,Tan Y,Ma Y,Liu Y,Guo Y,Ou Y,Wang Y,Gong Y,Zou Y,He Y,Xiong Y,Luo Y,You Y,Liu Y,Zhou Y,Zhu YX,Xu Y,Huang Y,Li Y,Zheng Y,Zhu Y,Ma Y,Tang Y,Zha Y,Yan Y,Ren ZZ,Ren Z,Sha Z,Fu Z,Xu Z,Xie Z,Zhang Z,Hao Z,Ma Z,Yan Z,Wu Z,Gu Z,Zhu Z,Liu Z,Li Z,Xie Z,Song Z,Pan Z,Huang Z,Xu Z,Zhang Z,Zhang Z","","DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning","","","","","","arXiv [cs.CL]","","2025","","","","All","","","","","","","","","2025-01-22","","","","","","","http://arxiv.org/abs/2501.12948","","","2501.12948","","We introduce our first-generation reasoning models, DeepSeek-R1-Zero and DeepSeek-R1. DeepSeek-R1-Zero, a model trained via large-scale reinforcement learning (RL) without supervised fine-tuning (SFT) as a preliminary step, demonstrates remarkable reasoning capabilities. Through RL, DeepSeek-R1-Zero naturally emerges with numerous powerful and intriguing reasoning behaviors. However, it encounters challenges such as poor readability, and language mixing. To address these issues and further enhance reasoning performance, we introduce DeepSeek-R1, which incorporates multi-stage training and cold-start data before RL. DeepSeek-R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks. To support the research community, we open-source DeepSeek-R1-Zero, DeepSeek-R1, and six dense models (1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 based on Qwen and Llama.","","","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","","","","","","arXiv","2501.12948","cs.CL","","","","","","","","","","","","","","All Papers/D/DeepSeek-AI et al. 2025 - DeepSeek-R1 - Incentivizing Reasoning Capability in LLMs via Reinforcement Learning.pdf","","","",""
"Thesis","Ammons JM","","Scaling data capacity and throughput in encrypted deduplication with segment chunks and index locality","","","","","","","","2024","","","","p-scailbib;All","","","","","","","","","2024","","","","","","","https://eprints.bbk.ac.uk/id/eprint/54728/","","","","","","","","","","","Ph.D. Thesis","","","","","","","Birkbeck, University of London","","","","","","","","","","","","","London, United Kingdom","PhD","",""
"Journal article","Mao B,Jiang H,Wu S,Fu Y,Tian L","","Read-performance optimization for deduplication-based storage systems in the cloud","ACM Trans. Storage","ACM transactions on storage","","","","","","2014","10","2","1-22","Grouped by Publication/ACM TOS;All","SSD","","","Association for Computing Machinery (ACM)","","","","","2014-03-01","","2025-01-04","","","1553-3077","1553-3093","https://dl.acm.org/doi/10.1145/2512348;http://dx.doi.org/10.1145/2512348;https://dl.acm.org/doi/abs/10.1145/2512348","10.1145/2512348","","","","Data deduplication has been demonstrated to be an effective technique in reducing the total data transferred over the network and the storage space in cloud backup, archiving, and primary storage systems, such as VM (virtual machine) platforms. However, the performance of restore operations from a deduplicated backup can be significantly lower than that without deduplication. The main reason lies in the fact that a file or block is split into multiple small data chunks that are often located in different disks after deduplication, which can cause a subsequent read operation to invoke many disk IOs involving multiple disks and thus degrade the read performance significantly. While this problem has been by and large ignored in the literature thus far, we argue that the time is ripe for us to pay significant attention to it in light of the emerging cloud storage applications and the increasing popularity of the VM platform in the cloud. This is because, in a cloud storage or VM environment, a simple read request on the client side may translate into a restore operation if the data to be read or a VM suspended by the user was previously deduplicated when written to the cloud or the VM storage server, a likely scenario considering the network bandwidth and storage capacity concerns in such an environment. To address this problem, in this article, we propose SAR, an SSD (solid-state drive)-Assisted Read scheme, that effectively exploits the high random-read performance properties of SSDs and the unique data-sharing characteristic of deduplication-based storage systems by storing in SSDs the unique data chunks with high reference count, small size, and nonsequential characteristics. In this way, many read requests to HDDs are replaced by read requests to SSDs, thus significantly improving the read performance of the deduplication-based storage systems in the cloud. The extensive trace-driven and VM restore evaluations on the prototype implementation of SAR show that SAR outperforms the traditional deduplication-based and flash-based cache schemes significantly, in terms of the average response times.","","","http://www.acm.org/publications/policies/copyright_policy#Background","","en","","","","","","","","","","","","","","","","","","","","All Papers/M/Mao et al. 2014 - Read-performance optimization for deduplication-based storage systems in the cloud.pdf","","","",""
"Journal article","Zhang T,Chen R,Li Z,Gao C,Wang C,Shu J","","Design and implementation of deduplication on F2FS","ACM Trans. Storage","ACM transactions on storage","","","","","","2024","20","4","1-50","Grouped by Publication/ACM TOS;All","SSD","","","Association for Computing Machinery (ACM)","","","","","2024-11-30","","","","","1553-3077","1553-3093","https://dl.acm.org/doi/pdf/10.1145/3662735;https://dl.acm.org/doi/10.1145/3662735;http://dx.doi.org/10.1145/3662735","10.1145/3662735","","","","Data deduplication technology has gained popularity in modern file systems due to its ability to eliminate redundant writes and improve storage space efficiency. In recent years, the flash-friendly file system (F2FS) has been widely adopted in flash memory-based storage devices, including smartphones, fast-speed servers, and Internet of Things. In this article, we propose F2DFS (deduplication-based F2FS), which introduces three main design contributions. First, F2DFS integrates inline and offline hybrid deduplication. Inline deduplication eliminates redundant writes and enhances flash device endurance, while offline deduplication mitigates the negative I/O performance impact and saves more storage space. Second, F2DFS follows the file system coupling design principle, effectively leveraging the potentials and benefits of both deduplication and native F2FS. Also, with the aid of this principle, F2DFS achieves high-performance and space-efficient incremental deduplication. Third, F2DFS adopts virtual indexing to mitigate deduplication-induced many-to-one mapping updates during the segment cleaning. We conducted comprehensive experimental comparisons between F2DFS, native F2FS, and other state-of-the-art deduplication schemes, using both synthetic and real-world workloads. For inline deduplication, F2DFS outperforms SmartDedup, Dmdedup, and ZFS, in terms of both I/O bandwidth performance and deduplication rates. And for offline deduplication, compared to SmartDedup, XFS, and BtrFS, F2DFS shows higher execution efficiency, lower resource usage, and greater storage space savings. Moreover, F2DFS demonstrates more efficient segment cleanings than native F2FS.","","","","","en","","","","","","","","","","","","","","","","","","","","All Papers/Z/Zhang et al. 2024 - Design and implementation of deduplication on F2FS.pdf","","","",""
"Miscellaneous","","","P4TechReport.pdf","","","","","","","","","","","","All","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All Papers/Other/P4TechReport.pdf - P4TechReport.pdf","","","",""
"Journal article","Guo X,Xian H","","AF-dedup: Secure encrypted data deduplication based on adaptive dynamic Merkle hash forest PoW for cloud storage","IEEE Trans. Industr. Inform.","IEEE transactions on industrial informatics","","","","","","2024","20","10","12294-12304","All","","","","Institute of Electrical and Electronics Engineers (IEEE)","","","","","2024-10","","2024-11-29","","","1551-3203","1941-0050","https://ieeexplore.ieee.org/abstract/document/10588962;http://dx.doi.org/10.1109/TII.2024.3417327;https://ieeexplore.ieee.org/document/10588962/;http://dx.doi.org/10.1109/tii.2024.3417327","10.1109/tii.2024.3417327","","","","For encrypted data deduplication, proof of ownership (PoW) verifies a client's ownership of an entire file, preventing malicious users from exploiting a single segment of information to gain access to the file. By establishing the identity of two users who possess the same file, cloud service provider (CSP) can maintain a single copy for the file, enabling deduplication. However, existing PoW schemes based on Merkle hash tree (MHT) cannot guarantee the security of small files. Therefore, we propose a novel data structure named a daptive d ynamic M erkle h ash f orest (ADMHF) for PoW, and present an encrypted data deduplication scheme called AF-Dedup. It reduces the risks of data content exposure resulting from multiple ownership verification attempts in traditional schemes. Specifically, we first construct the file tag as a unique identifier of the file. Second, different encryption schemes are employed depending on the popularity of the data. Then, the corresponding ADMHF is generated for subsequent ownership verifications. After security analysis and simulation experiments, our scheme is proven to significantly enhance the security of small files. In a given situation for files with only two blocks, our scheme achieves the same level of security as the existing scheme for a file with 91 blocks.","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","en","","","","","","","","","","","","","","","","","","","","All Papers/G/Guo and Xian 2024 - AF-dedup - Secure encrypted data deduplication based on adaptive dynamic Merkle hash forest PoW for cloud storage.pdf","","","",""
"Book","","","Secure Encrypted Data Deduplication Based Adaptive Dynamic Proof Ownership","","","","","","","","2023","","","","All","","","","","","","","","2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Journal article","Fu M,Han S,Lee PP,Feng D,Chen Z,Xiao Y","","A simulation analysis of redundancy and reliability in primary storage deduplication","IEEE Trans. Comput.","IEEE transactions on computers. Institute of Electrical and Electronics Engineers","","","","","","2018","67","9","1259-1272","MS Traces;FSL Traces;Thesis;All","","","","Institute of Electrical and Electronics Engineers (IEEE)","","","","","2018-09-01","","","","","0018-9340","1557-9956","https://ieeexplore.ieee.org/abstract/document/8300656/;https://www.cse.cuhk.edu.hk/~pclee/www/pubs/tc18simdedup.pdf;http://dx.doi.org/10.1109/TC.2018.2808496;https://ieeexplore.ieee.org/document/8300656/;http://dx.doi.org/10.1109/tc.2018.2808496","10.1109/tc.2018.2808496","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","","","","","","","","","","","","","","","","","","","All Papers/F/Fu et al. 2018 - A simulation analysis of redundancy and reliability in primary storage deduplication.pdf","","","",""
"Book chapter","Nayak S,Patgiri R","","Dr. Hadoop: In search of a needle in a haystack","","","Distributed Computing and Internet Technology","","","","","2019","","","99-107","MS Traces;Thesis;All","","","","Springer International Publishing","Cham","","","","2019","","","9783030053659","9783030053666","0302-9743","1611-3349","https://link.springer.com/chapter/10.1007/978-3-030-05366-6_8;https://www.uobabylon.edu.iq/eprints/paper_10_15902_1402.pdf;http://dx.doi.org/10.1007/978-3-030-05366-6_8;http://link.springer.com/10.1007/978-3-030-05366-6_8","10.1007/978-3-030-05366-6_8","","","","","","","","","","","Lecture notes in computer science","","","","","","","","","","","","","","","","","","All Papers/N/Nayak and Patgiri 2019 - Dr. Hadoop - In search of a needle in a haystack.pdf","","","",""
"Journal article","Kolosov O,Yadgar G,Maheshwari S,Soljanin E","","Benchmarking in the dark: On the absence of comprehensive edge datasets","HotEdge","USENIX Workshop on Hot Topics in Edge Computing","","","","","","2020","","","","FSL Traces;MS Traces;Thesis;All","","","","usenix.org","","","","","2020","","","","","","","https://www.usenix.org/conference/hotedge20/presentation/kolosov;https://www.usenix.org/system/files/hotedge20_paper_kolosov.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All Papers/K/Kolosov et al. 2020 - Benchmarking in the dark - On the absence of comprehensive edge datasets.pdf","","","",""
"Conference paper","Li P,Hua Y,Cao Q,Zhang M","","Improving the restore performance via physical-locality middleware for backup systems","","","","","Proceedings of the 21st International Middleware Conference","","","2020","","","","FSL Traces;Thesis;All","","","","ACM","New York, NY, USA","Middleware '20: 21st International Middleware Conference","Delft Netherlands","","2020-12-07","","","9781450381536","","","","https://dl.acm.org/doi/abs/10.1145/3423211.3425691;https://csyhua.github.io/csyhua/hua-middleware2020.pdf;http://dx.doi.org/10.1145/3423211.3425691;https://dl.acm.org/doi/10.1145/3423211.3425691","10.1145/3423211.3425691","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All Papers/L/Li et al. 2020 - Improving the restore performance via physical-locality middleware for backup systems.pdf","","","",""
"Book chapter","Tang X,Li J","","Improving online restore performance of backup storage via historical file access pattern","","","Communications in Computer and Information Science","","","","","2022","","","365-376","FSL Traces;Thesis;All","","","","Springer Nature Singapore","Singapore","","","","2022","","","9789811984440","9789811984457","1865-0929","1865-0937","https://link.springer.com/chapter/10.1007/978-981-19-8445-7_23;http://dx.doi.org/10.1007/978-981-19-8445-7_23;https://link.springer.com/10.1007/978-981-19-8445-7_23","10.1007/978-981-19-8445-7_23","","","","","","","https://www.springernature.com/gp/researchers/text-and-data-mining","","en","","Communications in computer and information science","","","","","","","","","","","","","","","","","","","","","",""
"Conference paper","Wong T,Thakkar S,Hsieh KF,Tom Z,Saraiya H,Shilane P","","Dataset similarity detection for global deduplication in the DD file system","","","","","2023 IEEE 39th International Conference on Data Engineering (ICDE)","","","2023","","","3322-3335","FSL Traces;Thesis;All","","","","IEEE","","2023 IEEE 39th International Conference on Data Engineering (ICDE)","Anaheim, CA, USA","2023/4/3-2023/4/7","2023-04","","","","","2375-026X","1063-6382","https://ieeexplore.ieee.org/abstract/document/10184604/;https://www.researchgate.net/profile/Smriti-Thakkar/publication/370466941_Dataset_Similarity_Detection_for_Global_Deduplication_in_the_DD_File_System/links/645176cd5762c95ac368ddea/Dataset-Similarity-Detection-for-Global-Deduplication-in-the-DD-File-System.pdf;http://dx.doi.org/10.1109/ICDE55515.2023.00255;https://ieeexplore.ieee.org/document/10184604/;http://dx.doi.org/10.1109/icde55515.2023.00255","10.1109/icde55515.2023.00255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All Papers/W/Wong et al. 2023 - Dataset similarity detection for global deduplication in the DD file system.pdf","","","",""
"Journal article","Richardson E","","Enhancing Data Recovery in Deduplication Backup Systems: A Novel Rewriting Algorithm to Minimize Fragmentation Effects","Journal of Computer Science and Software Applications","","","","","","","2024","4","2","15–19","FSL Traces;Thesis;All","","","","","","","","","2024-03","","","","","","","https://www.mfacademia.org/index.php/jcssa/article/view/96;http://dx.doi.org/10.5281/zenodo.12200408","10.5281/zenodo.12200408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All Papers/R/Richardson 2024 - Enhancing Data Recovery in Deduplication Backup Systems - A Novel Rewriting Algorithm to Minimize Fragmentation Effects.pdf","","","",""
"Journal article","Sun Zjason,Kuenning G,Mandal S,Shilane P,Tarasov V,Xiao N,Zadok E","","Cluster and single-node analysis of long-term deduplication patterns","ACM Trans. Storage","ACM transactions on storage","","","","","","2018","14","2","1-27","FSL Traces;Thesis;Grouped by Publication/ACM TOS;All","","","","Association for Computing Machinery (ACM)","","","","","2018-05-31","","","","","1553-3077","1553-3093","https://d1wqtxts1xzle7.cloudfront.net/80425695/3183890-libre.pdf?1644247433=&response-content-disposition=inline%3B+filename%3DCluster_and_Single_Node_Analysis_of_Long.pdf&Expires=1731347663&Signature=bSplFugDq8b7pLXur-9kjvVof2w-ZJSEGF2QuQjVWxR~1bpVaTb2AS7Y4g8He~AsxJaaAFvHPw70rb3W9ckG5hiYnieLctJ3MP0~erRaw31U624w5b7GMITiOYVEdJ1636iO358d3wR7SGlv3U-ozrUspvG752oxlqE1V3XaOi4Ytp~DBg5w4mi5O6Pjk0fSaj8iXO2Wd6L4cPRNmhpOrRzBrMVWJfVUDf0Qr9q3dBtW-kMQFQsgo6Nw8gz5XnZd~wkI5eZTfjRW0inoJxhi5D-fTGU6DtLfbV5H-2xVkpQZnuIAGqJyV1xYecsnQacb1d~Pji0r~j2PqUvcCx1MSw__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA;http://dx.doi.org/10.1145/3183890;https://dl.acm.org/doi/10.1145/3183890","10.1145/3183890","","","","Deduplication has become essential in disk-based backup systems, but there have been few long-term studies of backup workloads. Most past studies either were of a small static snapshot or covered only a short period that was not representative of how a backup system evolves over time. For this article, we first collected 21 months of data from a shared user file system; 33 users and over 4,000 snapshots are covered. We then analyzed the dataset, examining a variety of essential characteristics across two dimensions: single-node deduplication and cluster deduplication. For single-node deduplication analysis, our primary focus was individual-user data. Despite apparently similar roles and behavior among all of our users, we found significant differences in their deduplication ratios. Moreover, the data that some users share with others had a much higher deduplication ratio than average. For cluster deduplication analysis, we implemented seven published data-routing algorithms and created a detailed comparison of their performance with respect to deduplication ratio, load distribution, and communication overhead. We found that per-file routing achieves a higher deduplication ratio than routing by super-chunk (multiple consecutive chunks), but it also leads to high data skew (imbalance of space usage across nodes). We also found that large chunking sizes are better for cluster deduplication, as they significantly reduce data-routing overhead, while their negative impact on deduplication ratios is small and acceptable. We draw interesting conclusions from both single-node and cluster deduplication analysis and make recommendations for future deduplication systems design.","","","http://www.acm.org/publications/policies/copyright_policy#Background","","en","","","","","","","","","","","","","","","","","","","","All Papers/S/Sun et al. 2018 - Cluster and single-node analysis of long-term deduplication patterns.pdf","","","",""
"Journal article","Yao W,Hao M,Hou Y,Li X","","FASR: An efficient feature-aware deduplication method in distributed storage systems","IEEE Access","IEEE Access: Practical Innovations, Open Solutions","","","","","","2022","10","","15311-15321","FSL Traces;Thesis;All","","","","Institute of Electrical and Electronics Engineers (IEEE)","","","","","2022","","","","","2169-3536","","https://ieeexplore.ieee.org/abstract/document/9696338/;https://ieeexplore.ieee.org/iel7/6287639/6514899/09696338.pdf;https://ieeexplore.ieee.org/document/9696338/;http://dx.doi.org/10.1109/access.2022.3147545","10.1109/access.2022.3147545","","","","Deduplication technology can obtain higher space utilization by keeping only one duplicate. But in a distributed storage system, the overall deduplication ratio will be limited due to redundancy elimination across nodes. The traditional deduplication methods usually utilize data similarity and data locality to improve the deduplication ratio. However, higher system overhead is caused by frequent similarity calculations. To deal with this problem, this paper proposes a new Feature-Aware Stateful Routing method (FASR), aiming to reduce the system overhead and keep a high deduplication ratio in the distributed environment. Firstly, we design a feature-aware nodes selection strategy to choose similar nodes by extracting data feature and data distribution characteristics. This strategy will save the similarity calculation with the nodes that are not similar to the data. Then, we present a stateful routing algorithm to determine the target node using super-chunk and handprint technology. Meanwhile, the algorithm maintain load balance of the entire distributed system. Finally, the data is deduplicated locally based on similarity index and fingerprint cache. Extensive experiments demonstrate that FASR can reduce system overhead by around 30% at most and also effectively obtain a higher deduplication ratio.","","","https://creativecommons.org/licenses/by-nc-nd/4.0/","","","","","","","","","","","","","","","","","","","","","","All Papers/Y/Yao et al. 2022 - FASR - An efficient feature-aware deduplication method in distributed storage systems.pdf","","","",""
"Journal article","Dagnaw G,Zhou K,Wang H","","SACRO : Solid state drive‐assisted chunk caching for restore optimization","Concurr. Comput.","Concurrency and computation: practice & experience","","","","","","2023","35","18","","FSL Traces;Thesis;All","","","","Wiley","","","","","2023-08-15","","","","","1532-0626","1532-0634","https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.6162;http://dx.doi.org/10.1002/cpe.6162;https://onlinelibrary.wiley.com/doi/10.1002/cpe.6162","10.1002/cpe.6162","","","","","","","http://onlinelibrary.wiley.com/termsAndConditions#vor","","en","","","","","","","","","","","","","","","","","","","","All Papers/D/Dagnaw et al. 2023 - SACRO - Solid state drive‐assisted chunk caching for restore optimization.pdf","","","",""
"Conference paper","Vaughn C,Miller C,Ekenta O,Sun H,Bhadkamkar M,Efstathopoulos P,Kardes E","","Soothsayer: Predicting capacity usage in backup storage systems","","","","","2015 IEEE 23rd International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems","","","2015","","","208-217","FSL Traces;Thesis;All","","","","IEEE","","2015 IEEE 23rd International Symposium on Modeling, Analysis and Simulation of Computer and Telecommunication Systems (MASCOTS)","Atlanta, GA, USA","2015/10/5-2015/10/7","2015-10","","","9781467377201","9781467377195","1526-7539","","https://ieeexplore.ieee.org/abstract/document/7330192/;https://www.academia.edu/download/46893412/Soothsayer_Predicting_Capacity_Usage_in_20160629-15407-uti0bm.pdf;http://dx.doi.org/10.1109/MASCOTS.2015.40;https://ieeexplore.ieee.org/document/7330192;http://dx.doi.org/10.1109/mascots.2015.40","10.1109/mascots.2015.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
