file_name,title,venue,year,tags
Zhao et al. 2021 - Large-Scale Analysis of Docker Images and Performance Implications for Container Storage Systems.pdf,Large-Scale Analysis of Docker Images and Performance Implications for Container Storage Systems,IEEE Trans. Parallel Distrib. Syst.,2021,
Li et al. 2014 - Towards Network-level Efficiency for Cloud Storage Services.pdf,Towards Network-level Efficiency for Cloud Storage Services,Proceedings of the 2014 Conference on Internet Measurement Conference,2014,
Shilane et al. 2012 - WAN-optimized replication of backup datasets using stream-informed delta compression.pdf,WAN-optimized replication of backup datasets using stream-informed delta compression,ACM Trans. Storage,2012,
Zhang et al. 2022 - MGRM - A Multi-Segment Greedy Rewriting Method to Alleviate Data Fragmentation in Deduplication-Based Cloud Backup Systems.pdf,MGRM: A Multi-Segment Greedy Rewriting Method to Alleviate Data Fragmentation in Deduplication-Based Cloud Backup Systems,IEEE Transactions on Cloud Computing,2022,
Zheng et al. 2022 - WebAssembly-based Delta Sync for Cloud Storage Services.pdf,WebAssembly-based Delta Sync for Cloud Storage Services,ACM Trans. Storage,2022,
Yang et al. 2022 - Tunable Encrypted Deduplication with Attack-resilient Key Management.pdf,Tunable Encrypted Deduplication with Attack-resilient Key Management,ACM Trans. Storage,2022,Datasets;Tunable;Frequency
"Kisous et al. 2022 - The what, The from, and The to - The Migration Games in Deduplicated Systems.pdf","The what, The from, and The to: The Migration Games in Deduplicated Systems",ACM Trans. Storage,2022,
Zhou et al. 2022 - UltraCDC - A Fast and Stable Content-Defined Chunking Algorithm for Deduplication-based Backup Storage Systems.pdf,UltraCDC:A Fast and Stable Content-Defined Chunking Algorithm for Deduplication-based Backup Storage Systems,"2022 IEEE International Performance, Computing, and Communications Conference (IPCCC)",2022,
[No title] - [No title].pdf,[No title],,,
Vuong et al. 2022 - A Design of Parallel Content-Defined Chunking System Using Non-Hashing Algorithms on FPGA.pdf,A Design of Parallel Content-Defined Chunking System Using Non-Hashing Algorithms on FPGA,IEEE Access,2022,
Zhang et al. 2021 - SimpleSync - A parallel delta synchronization method based on Flink.pdf,SimpleSync: A parallel delta synchronization method based on Flink,Concurr. Comput.,2021,
Zheng et al. - Secure batch deduplication without dual servers in backup system.pdf,Secure batch deduplication without dual servers in backup system,,,
Zou et al. - Building a high-performance fine-grained deduplication framework for backup storage with high deduplication ratio.pdf,Building a high-performance fine-grained deduplication framework for backup storage with high deduplication ratio,,,
Tan et al. 2018 - FGDEFRAG - A fine-grained defragmentation approach to improve restore performance.pdf,FGDEFRAG: A fine-grained defragmentation approach to improve restore performance,Proc. 33th Symp. Mass,2018,
Tan et al. 2018 - [no filename],Improving Restore Performance in Deduplication-Based Backup Systems via a Fine-Grained Defragmentation Approach,IEEE Trans. Parallel Distrib. Syst.,2018,
Stefanov et al. 2018 - Path ORAM - An Extremely Simple Oblivious RAM Protocol.pdf,Path ORAM: An Extremely Simple Oblivious RAM Protocol,J. ACM,2018,
Building-a-High-performance-Fine-grai... - Building-a-High-performance-F ... uplication-Framework-for-Backup-Storage-with-High-Deduplication-Ratio.pdf,Building-a-High-performance-Fine-grained-Deduplication-Framework-for-Backup-Storage-with-High-Deduplication-Ratio.pdf,,,
Zhang et al. 2012 - Multi-level Selective Deduplication for VM Snapshots in Cloud Storage.pdf,Multi-level Selective Deduplication for VM Snapshots in Cloud Storage,2012 IEEE Fifth International Conference on Cloud Computing,2012,Two-stage
Zhang et al. 2020 - Improving Restore Performance for In-Line Backup System Combining Deduplication and Delta Compression.pdf,Improving Restore Performance for In-Line Backup System Combining Deduplication and Delta Compression,IEEE Trans. Parallel Distrib. Syst.,2020,
Li et al. 2022 - Fantastic SSD internals and how to learn and use them.pdf,Fantastic SSD internals and how to learn and use them,Proceedings of the 15th ACM International Conference on Systems and Storage,2022,
Bae et al. 2022 - Dedup-for-speed - storing duplications in fast programming mode for enhanced read performance.pdf,Dedup-for-speed: storing duplications in fast programming mode for enhanced read performance,Proceedings of the 15th ACM International Conference on Systems and Storage,2022,
Youn et al. 2019 - Authorized Client-Side Deduplication Using CP-ABE in Cloud Storage.pdf,Authorized Client-Side Deduplication Using CP-ABE in Cloud Storage,Proc. Int. Wirel. Commun. Mob. Comput. Conf.,2019,
Al-Amer and Ouda 2021 - Secure and Efficient Proof of Ownership Scheme for Client-Side Deduplication in Cloud Environments.pdf,Secure and Efficient Proof of Ownership Scheme for Client-Side Deduplication in Cloud Environments,International Journal of Advanced Computer Science and Applications; West Yorkshire,2021,
Sehat et al. 2022 - Bonsai - A Generalized Look at Dual Deduplication.pdf,Bonsai: A Generalized Look at Dual Deduplication,arXiv [cs.CR],2022,
Miao et al. 2021 - New proofs of ownership for efficient data deduplication in the adversarial conspiracy model.pdf,New proofs of ownership for efficient data deduplication in the adversarial conspiracy model,Int. J. Intell. Syst.,2021,PoW
Ménétrey et al. 2022 - An Exploratory Study of Attestation Mechanisms for Trusted Execution Environments.pdf,An Exploratory Study of Attestation Mechanisms for Trusted Execution Environments,arXiv [cs.CR],2022,
Ren et al. 2021 - Accelerating Encrypted Deduplication via {SGX}.pdf,Accelerating Encrypted Deduplication via {SGX},2021 USENIX Annual Technical Conference (USENIX ATC 21),2021,
You et al. 2021 - What If Keys Are Leaked - towards Practical and Secure Re-Encryption in Deduplication-Based Cloud Storage.pdf,What If Keys Are Leaked? towards Practical and Secure Re-Encryption in Deduplication-Based Cloud Storage,Information,2021,
Yang et al. 2022 - Secure and Lightweight Deduplicated Storage via Shielded Deduplication-Before-Encryption.pdf,Secure and Lightweight Deduplicated Storage via Shielded Deduplication-Before-Encryption,2022 USENIX Annual Technical Conference (USENIX ATC 22),2022,
Zou et al. 2022 - From Hyper-dimensional Structures to Linear Structures - Maintaining Deduplicated Data’s Locality.pdf,From Hyper-dimensional Structures to Linear Structures: Maintaining Deduplicated Data’s Locality,ACM Trans. Storage,2022,Datasets
Zuo et al. 2021 - Ensuring high reliability and performance with low space overhead for deduplicated and delta‐compressed storage systems.pdf,Ensuring high reliability and performance with low space overhead for deduplicated and delta‐compressed storage systems,Concurr. Comput.,2021,
Li et al. 2016 - CacheDedup - In-line Deduplication for Flash Caching.pdf,CacheDedup: In-line Deduplication for Flash Caching,14th USENIX Conference on File and Storage Technologies (FAST 16),2016,
Kim et al. 2020 - An Efficient Database Backup and Recovery Scheme using Write-Ahead Logging.pdf,An Efficient Database Backup and Recovery Scheme using Write-Ahead Logging,2020 IEEE 13th International Conference on Cloud Computing (CLOUD),2020,
Süß et al. - Deduplication analyses of multimedia system images.pdf,Deduplication analyses of multimedia system images,USENIX Workshop on Hot,,
Wildani et al. 2013 - HANDS - A heuristically arranged non-backup in-line deduplication system.pdf,HANDS: A heuristically arranged non-backup in-line deduplication system,2013 29th IEEE International Conference on Data Engineering (ICDE 2013),2013,
Yan et al. 2019 - Heterogeneous Data Storage Management with Deduplication in Cloud Computing.pdf,Heterogeneous Data Storage Management with Deduplication in Cloud Computing,IEEE Transactions on Big Data,2019,
"Islam et al. 2012 - Access pattern disclosure on searchable encryption - Ramification, attack and mitigation.pdf","Access pattern disclosure on searchable encryption: Ramification, attack and mitigation",Network and Distributed System Security Symposium (NDSS),2012,
Vestergaard et al. 2020 - CIDER - A Low Overhead Approach to Privacy Aware Client-side Deduplication.pdf,CIDER: A Low Overhead Approach to Privacy Aware Client-side Deduplication,GLOBECOM 2020 - 2020 IEEE Global Communications Conference,2020,client-side deduplication
Xia et al. 2022 - NetSync - a Network Adaptive and Deduplication-Inspired Delta Synchronization Approach for Cloud Storage Services.pdf,NetSync: a Network Adaptive and Deduplication-Inspired Delta Synchronization Approach for Cloud Storage Services,IEEE Transactions on Parallel and Distributed Systems,2022,
He et al. 2020 - Dsync - a lightweight delta synchronization approach for cloud storage services.pdf,Dsync: a lightweight delta synchronization approach for cloud storage services,36th Symposium on Mass Storage Systems and Technologies (MSST'20),2020,
Shell and Member - How to Use the IEEEtran LTEX Class.pdf,How to Use the IEEEtran LTEX Class,,,
Kachmar and Kaeli 2021 - CALC - A Content-Aware Learning Cache for Storage Systems.pdf,CALC: A Content-Aware Learning Cache for Storage Systems,"2021 IEEE International Conference on Networking, Architecture and Storage (NAS)",2021,
Zuo et al. 2019 - RepEC-Duet - Ensure High Reliability and Performance for Deduplicated and Delta-Compressed Storage Systems.pdf,RepEC-Duet: Ensure High Reliability and Performance for Deduplicated and Delta-Compressed Storage Systems,2019 IEEE 37th International Conference on Computer Design (ICCD),2019,
Dagnaw et al. 2018 - CACH-Dedup - Content Aware Clustered and Hierarchical Deduplication.pdf,CACH-Dedup: Content Aware Clustered and Hierarchical Deduplication,2018 IEEE 24th International Conference on Parallel and Distributed Systems (ICPADS),2018,
Chen et al. 2020 - Boosting the Profitability of NVRAM-based Storage Devices via the Concept of Dual-Chunking Data Deduplication.pdf,Boosting the Profitability of NVRAM-based Storage Devices via the Concept of Dual-Chunking Data Deduplication,2020 25th Asia and South Pacific Design Automation Conference (ASP-DAC),2020,
Qin et al. 2020 - PBCCF - Accelerated Deduplication by Prefetching Backup Content Correlated Fingerprints.pdf,PBCCF: Accelerated Deduplication by Prefetching Backup Content Correlated Fingerprints,2020 IEEE 38th International Conference on Computer Design (ICCD),2020,
Zhang et al. 2021 - SLIMSTORE - A Cloud-based Deduplication System for Multi-version Backups.pdf,SLIMSTORE: A Cloud-based Deduplication System for Multi-version Backups,2021 IEEE 37th International Conference on Data Engineering (ICDE),2021,
Yang et al. 2021 - Boosting the Restoring Performance of Deduplication Data by Classifying Backup Metadata.pdf,Boosting the Restoring Performance of Deduplication Data by Classifying Backup Metadata,ACM/IMS Trans. Data Sci.,2021,Restore optimization
Nam et al. 2012 - Assuring Demanded Read Performance of Data Deduplication Storage with Backup Datasets.pdf,Assuring Demanded Read Performance of Data Deduplication Storage with Backup Datasets,"2012 IEEE 20th International Symposium on Modeling, Analysis and Simulation of Computer and Telecommunication Systems",2012,Restore optimization
Deng et al. 2022 - imDedup - a Lossless Deduplication Scheme to Eliminate Fine-grained Redundancy among Images.pdf,imDedup: a Lossless Deduplication Scheme to Eliminate Fine-grained Redundancy among Images,The 38th IEEE International Conference on Data Engineering (ICDE '22),2022,Similarity/Resemblance
Hurst et al. 2022 - GLEAN - Generalized Deduplication Enabled Approximate Edge Analytics.pdf,GLEAN: Generalized Deduplication Enabled Approximate Edge Analytics,IEEE Internet of Things Journal,2022,Datasets
Zhang et al. 2021 - Improving the Performance of Deduplication-Based Bac ... tems via Container Utilization Based Hot Fingerprint Entry Distilling.pdf,Improving the Performance of Deduplication-Based Backup Systems via Container Utilization Based Hot Fingerprint Entry Distilling,ACM Trans. Storage,2021,Restore optimization ;Datasets
Fu et al. 2019 - Application-Aware Big Data Deduplication in Cloud Environment.pdf,Application-Aware Big Data Deduplication in Cloud Environment,IEEE Transactions on Cloud Computing,2019,Application Aware;Super-chunking;Similarity/Resemblance;Routing with Superchunks
Beller et al. 2017 - TravisTorrent - Synthesizing Travis CI and GitHub for Full-Stack Research on Continuous Integration.pdf,TravisTorrent: Synthesizing Travis CI and GitHub for Full-Stack Research on Continuous Integration,2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR),2017,
Kim et al. 2020 - An Efficient Database Backup and Recovery Scheme using Write-Ahead Logging.pdf,An Efficient Database Backup and Recovery Scheme using Write-Ahead Logging,2020 IEEE 13th International Conference on Cloud Computing (CLOUD),2020,
Microsoft Azure 2025 - Pricing – Bandwidth.pdf,Pricing – Bandwidth,,2025,
Wajahat et al. 2020 - Analyzing the distribution fit for storage workload and Internet traffic traces.pdf,Analyzing the distribution fit for storage workload and Internet traffic traces,Performance Evaluation,2020,Datasets
Abad et al. - Metadata workloads for testing big storage systems.pdf,Metadata workloads for testing big storage systems,,,Datasets
Luo et al. 2018 - D2-Tree - A Distributed Double-Layer Namespace Tree Partition Scheme for Metadata Management in Large-Scale Storage Systems.pdf,D2-Tree: A Distributed Double-Layer Namespace Tree Partition Scheme for Metadata Management in Large-Scale Storage Systems,2018 IEEE 38th International Conference on Distributed Computing Systems (ICDCS),2018,Datasets
Gao et al. 2019 - An Efficient Ring-Based Metadata Management Policy for Large-Scale Distributed File Systems.pdf,An Efficient Ring-Based Metadata Management Policy for Large-Scale Distributed File Systems,IEEE Trans. Parallel Distrib. Syst.,2019,Datasets
"Adya et al. 2003 - Farsite - federated, available, and reliable storage for an incompletely trusted environment.pdf","Farsite: federated, available, and reliable storage for an incompletely trusted environment",Oper. Syst. Rev.,2003,Distributed File Systems;CE/MLE
Anwar et al. 2018 - Improving docker registry design based on production workload analysis.pdf,Improving docker registry design based on production workload analysis,16th USENIX Conference on File and Storage Technologies (FAST 18),2018,
Ni and Jiang 2019 - RapidCDC - Leveraging Duplicate Locality to Accelerate Chunking in CDC-based Deduplication Systems.pdf,RapidCDC: Leveraging Duplicate Locality to Accelerate Chunking in CDC-based Deduplication Systems,Proceedings of the ACM Symposium on Cloud Computing,2019,
Kim et al. 2020 - An Efficient Database Backup and Recovery Scheme using Write-Ahead Logging.pdf,An Efficient Database Backup and Recovery Scheme using Write-Ahead Logging,2020 IEEE 13th International Conference on Cloud Computing (CLOUD),2020,
Xu and Zhang 2021 - QuickCDC - A Quick Content Defined Chunking Algorithm Based on Jumping and Dynamically Adjusting Mask Bits.pdf,QuickCDC: A Quick Content Defined Chunking Algorithm Based on Jumping and Dynamically Adjusting Mask Bits,"2021 IEEE Intl Conf on Parallel Distributed Processing with Applications, Big Data Cloud Computing, Sustainable Computing Communications, Social Computing Networking (ISPA/BDCloud/SocialCom/SustainCom)",2021,
Meister and Brinkmann 2009 - Multi-level comparison of data deduplication in a backup scenario.pdf,Multi-level comparison of data deduplication in a backup scenario,Proceedings of SYSTOR 2009: The Israeli Experimental Systems Conference,2009,Causality Based
Tan et al. 2011 - CABdedupe - A Causality-Based Deduplication Performance Booster for Cloud Backup Services.pdf,CABdedupe: A Causality-Based Deduplication Performance Booster for Cloud Backup Services,2011 IEEE International Parallel Distributed Processing Symposium,2011,Causality Based
Simha et al. 2013 - A scalable deduplication and garbage collection engine for incremental backup.pdf,A scalable deduplication and garbage collection engine for incremental backup,Proceedings of the 6th International Systems and Storage Conference,2013,Incremental Backup/Sync;Garbage Collection;Causality Based
Kaiser et al. 2015 - Deriving and comparing deduplication techniques using a model-based classification.pdf,Deriving and comparing deduplication techniques using a model-based classification,Proceedings of the Tenth European Conference on Computer Systems,2015,
Zuo et al. 2019 - RepEC-Duet - Ensure High Reliability and Performance for Deduplicated and Delta-Compressed Storage Systems.pdf,RepEC-Duet: Ensure High Reliability and Performance for Deduplicated and Delta-Compressed Storage Systems,2019 IEEE 37th International Conference on Computer Design (ICCD),2019,
Patil and Barve 2017 - DDFP - Duplicate detection and fragment placement in deduplication system for security and storage space.pdf,DDFP: Duplicate detection and fragment placement in deduplication system for security and storage space,2017 1st International Conference on Intelligent Systems and Information Management (ICISIM),2017,
Dagnaw et al. 2018 - CACH-Dedup - Content Aware Clustered and Hierarchical Deduplication.pdf,CACH-Dedup: Content Aware Clustered and Hierarchical Deduplication,2018 IEEE 24th International Conference on Parallel and Distributed Systems (ICPADS),2018,Similarity/Resemblance
Dagnaw et al. 2019 - DCACH - Content aware clustered and hierarchical distributed deduplication.pdf,DCACH: Content aware clustered and hierarchical distributed deduplication,J. Softw. Eng. Appl.,2019,Application Aware
Xu et al. 2019 - LIPA - A Learning-based Indexing and Prefetching Approach for Data Deduplication.pdf,LIPA: A Learning-based Indexing and Prefetching Approach for Data Deduplication,2019 35th Symposium on Mass Storage Systems and Technologies (MSST),2019,
Ye et al. 2021 - Fast Variable-Grained Resemblance Data Deduplication For Cloud Storage.pdf,Fast Variable-Grained Resemblance Data Deduplication For Cloud Storage,"2021 IEEE International Conference on Networking, Architecture and Storage (NAS)",2021,
Zhang et al. 2021 - Towards Thwarting Template Side-Channel Attacks in Secure Cloud Deduplications.pdf,Towards Thwarting Template Side-Channel Attacks in Secure Cloud Deduplications,IEEE Trans. Dependable Secure Comput.,2021,
Li et al. 2016 - Rekeying for Encrypted Deduplication Storage.pdf,Rekeying for Encrypted Deduplication Storage,2016 46th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),2016,
"Luo et al. 2019 - Optimizing Bloom Filter - Challenges, Solutions, and Comparisons.pdf","Optimizing Bloom Filter: Challenges, Solutions, and Comparisons",IEEE Communications Surveys Tutorials,2019,
Wei et al. 2014 - Efficiently Representing Membership for Variable Large Data Sets.pdf,Efficiently Representing Membership for Variable Large Data Sets,IEEE Trans. Parallel Distrib. Syst.,2014,
Sun et al. 2017 - ${$SmartCuckoo$}$ - A Fast and ${$Cost-Efficient$}$ Hashing Index Scheme for Cloud Storage Systems.pdf,${$SmartCuckoo$}$: A Fast and ${$Cost-Efficient$}$ Hashing Index Scheme for Cloud Storage Systems,2017 USENIX Annual Technical Conference (USENIX ATC 17),2017,
Grawinkel et al. 2015 - Analysis of the ${$ECMWF$}$ Storage Landscape.pdf,Analysis of the ${$ECMWF$}$ Storage Landscape,13th USENIX Conference on File and Storage Technologies (FAST 15),2015,
Li et al. 2014 - Secure Deduplication Storage Systems with Keyword Search.pdf,Secure Deduplication Storage Systems with Keyword Search,2014 IEEE 28th International Conference on Advanced Information Networking and Applications,2014,
Li et al. 2015 - Secure deduplication storage systems supporting keyword search.pdf,Secure deduplication storage systems supporting keyword search,J. Comput. System Sci.,2015,
Lin et al. 2015 - Using Deduplicating Storage for Efficient Disk Image Deployment.pdf,Using Deduplicating Storage for Efficient Disk Image Deployment,EAI Endorsed Trans. Scalable Inf. Syst.,2015,
Long et al. 2020 - A similarity clustering-based deduplication strategy in cloud storage systems.pdf,A similarity clustering-based deduplication strategy in cloud storage systems,2020 IEEE 26th International Conference on Parallel and Distributed Systems (ICPADS),2020,Similarity/Resemblance
Leibenger and Sorge 2016 - sec-cs - Getting the Most out of Untrusted Cloud Storage.pdf,sec-cs: Getting the Most out of Untrusted Cloud Storage,arXiv [cs.CR],2016,
Wu et al. 2021 - When Delta Sync Meets Message-Locked Encryption - a Feature-based Delta Sync Scheme for Encrypted Cloud Storage.pdf,When Delta Sync Meets Message-Locked Encryption: a Feature-based Delta Sync Scheme for Encrypted Cloud Storage,2021 IEEE 41st International Conference on Distributed Computing Systems (ICDCS),2021,
Xing et al. 2010 - PeerDedupe - Insights into the Peer-Assisted Sampling Deduplication.pdf,PeerDedupe: Insights into the Peer-Assisted Sampling Deduplication,2010 IEEE Tenth International Conference on Peer-to-Peer Computing (P2P),2010,
Li et al. 2022 - Revisiting Frequency Analysis against Encrypted Deduplication via Statistical Distribution.pdf,Revisiting Frequency Analysis against Encrypted Deduplication via Statistical Distribution,IEEE INFOCOM 2022 - IEEE Conference on Computer Communications,2022,Frequency
Shi et al. 2011 - Oblivious RAM with O((logN)3) Worst-Case Cost.pdf,Oblivious RAM with O((logN)3) Worst-Case Cost,Advances in Cryptology – ASIACRYPT 2011,2011,
Youn et al. 2018 - Efficient Client-Side Deduplication of Encrypted Data With Public Auditing in Cloud Storage.pdf,Efficient Client-Side Deduplication of Encrypted Data With Public Auditing in Cloud Storage,IEEE Access,2018,
Stefanov et al. 2013 - Path ORAM.pdf,Path ORAM,Proceedings of the 2013 ACM SIGSAC conference on Computer & communications security - CCS '13,2013,
Ateniese et al. 2007 - Provable data possession at untrusted stores.pdf,Provable data possession at untrusted stores,Proceedings of the 14th ACM conference on Computer and communications security  - CCS '07,2007,
Saeed and George 2021 - Fingerprint-Based Data Deduplication Using a Mathematical Bounded Linear Hash Function.pdf,Fingerprint-Based Data Deduplication Using a Mathematical Bounded Linear Hash Function,Symmetry,2021,
Saeed and George 2020 - Data Deduplication System Based on Content-Defined Chunking Using Bytes Pair Frequency Occurrence.pdf,Data Deduplication System Based on Content-Defined Chunking Using Bytes Pair Frequency Occurrence,Symmetry,2020,
Zhang et al. 2012 - Droplet - A Distributed Solution of Data Deduplication.pdf,Droplet: A Distributed Solution of Data Deduplication,2012 ACM/IEEE 13th International Conference on Grid Computing,2012,
Hamilton and Olsen 2003 - Design and implementation of a storage repository using commonality factoring.pdf,Design and implementation of a storage repository using commonality factoring,"20th IEEE/11th NASA Goddard Conference on Mass Storage Systems and Technologies, 2003. (MSST 2003). Proceedings.",2003,
Bloom 1970 - Space - time trade-offs in hash coding with allowable errors.pdf,Space/time trade-offs in hash coding with allowable errors,Commun. ACM,1970,
You - Evaluation of efficient archival storage techniques.pdf,Evaluation of efficient archival storage techniques,,,Chunking;Metadata
Stephenson 2013 - Fine-grain in-memory deduplication for large-scale workloads.pdf,Fine-grain in-memory deduplication for large-scale workloads,,2013,
Yang et al. - Don't stack your Log on my Log.pdf,Don't stack your Log on my Log,,,
Kim et al. 2020 - An Efficient Database Backup and Recovery Scheme using Write-Ahead Logging.pdf,An Efficient Database Backup and Recovery Scheme using Write-Ahead Logging,2020 IEEE 13th International Conference on Cloud Computing (CLOUD),2020,sorted deduplication
Li et al. 2020 - Balancing storage efficiency and data confidentiality with tunable encrypted deduplication.pdf,Balancing storage efficiency and data confidentiality with tunable encrypted deduplication,Proceedings of the Fifteenth European Conference on Computer Systems,2020,Datasets;Tunable;Frequency
Li et al. 2021 - tc21metadedup_supp.pdf,Enabling Secure and Space-Efficient Metadata Management in Encrypted Deduplication,IEEE Trans. Comput.,2021,Two-stage
Zou et al. 2021 - The Dilemma between Deduplication and Locality - Can Both be Achieved.pdf,The Dilemma between Deduplication and Locality: Can Both be Achieved?,19th ${$USENIX$}$ Conference on File and Storage Technologies (${$FAST$}$ 21),2021,
Quero et al. 2015 - Self-sorting SSD - Producing sorted data inside active SSDs.pdf,Self-sorting SSD: Producing sorted data inside active SSDs,2015 31st Symposium on Mass Storage Systems and Technologies (MSST),2015,
O'Neil 1992 - TheSB-tree an index-sequential structure for high-performance sequential access.pdf,TheSB-tree an index-sequential structure for high-performance sequential access,Acta Inform.,1992,
Baiwen and Lianying 2014 - Analysis on the Comparison Methods of Two Sorted Lists in Total-Order Set.pdf,Analysis on the Comparison Methods of Two Sorted Lists in Total-Order Set,2014 International Conference on Virtual Reality and Visualization,2014,
Ozalp and Akin - Optimization of Merge Based Sort Algorithms on Nearly Sorted Lists.pdf,Optimization of Merge Based Sort Algorithms on Nearly Sorted Lists,wseas.us,,
Christen 2012 - A Survey of Indexing Techniques for Scalable Record Linkage and Deduplication.pdf,A Survey of Indexing Techniques for Scalable Record Linkage and Deduplication,IEEE Trans. Knowl. Data Eng.,2012,
Kaiser et al. 2015 - Deriving and comparing deduplication techniques using a model-based classification.pdf,Deriving and comparing deduplication techniques using a model-based classification,Proceedings of the Tenth European Conference on Computer Systems,2015,
Mandal et al. 2016 - Using hints to improve inline block-layer deduplication.pdf,Using hints to improve inline block-layer deduplication,14th ${$USENIX$}$ Conference on File and Storage Technologies (${$FAST$}$ 16),2016,Deduplication Systems
Zhang et al. 2013 - Low-cost data deduplication for virtual machine backup in cloud storage.pdf,Low-cost data deduplication for virtual machine backup in cloud storage,5th ${$USENIX$}$ Workshop on Hot Topics in Storage and File Systems (HotStorage 13),2013,Routing with Chunks
van Renen et al. 2019 - Persistent Memory I - O Primitives.pdf,Persistent Memory I/O Primitives,Proceedings of the 15th International Workshop on Data Management on New Hardware,2019,
Picoli et al. 2019 - LSM Management on Computational Storage.pdf,LSM Management on Computational Storage,Proceedings of the 15th International Workshop on Data Management on New Hardware,2019,
Haas et al. - Exploiting directly-attached NVMe arrays in DBMS.pdf,Exploiting directly-attached NVMe arrays in DBMS,,,
Lersch et al. 2017 - Rethinking DRAM Caching for LSMs in an NVRAM Environment.pdf,Rethinking DRAM Caching for LSMs in an NVRAM Environment,Advances in Databases and Information Systems,2017,
Kim et al. 2020 - An Efficient Database Backup and Recovery Scheme using Write-Ahead Logging.pdf,An Efficient Database Backup and Recovery Scheme using Write-Ahead Logging,2020 IEEE 13th International Conference on Cloud Computing (CLOUD),2020,
Koo and Hur 2018 - Privacy-preserving deduplication of encrypted data with dynamic ownership management in fog computing.pdf,Privacy-preserving deduplication of encrypted data with dynamic ownership management in fog computing,Future Gener. Comput. Syst.,2018,
Lu et al. 2021 - Secure Deduplication-based Storage Systems with Resistance to Side-Channel Attacks via Fog Computing.pdf,Secure Deduplication-based Storage Systems with Resistance to Side-Channel Attacks via Fog Computing,IEEE Sens. J.,2021,Ownership Management
Meister et al. 2012 - A study on data deduplication in HPC storage systems.pdf,A study on data deduplication in HPC storage systems,"2012 SC - International Conference for High Performance Computing, Networking, Storage and Analysis",2012,Datasets
Request Merging Based Cross-User Dedu... - Request Merging Based Cross-U ... ion for Cloud Storage with Resistance Against Appending Chunks Attack.pdf,Request Merging Based Cross-User Deduplication for Cloud Storage with Resistance Against Appending Chunks Attack.pdf,,,
Koushik et al. 2020 - Study of data deduplication for file chunking approaches.pdf,Study of data deduplication for file chunking approaches,"Data Deduplication Approaches: Concepts, Strategies, and Challenges",2020,
You et al. 2011 - PRESIDIO - A Framework for Efficient Archival Data Storage.pdf,PRESIDIO: A Framework for Efficient Archival Data Storage,ACM Trans. Storage,2011,Similarity/Resemblance
Lu et al. 2012 - Content Sharing Graphs for Deduplication-Enabled Storage Systems.pdf,Content Sharing Graphs for Deduplication-Enabled Storage Systems,Algorithms,2012,
Yao et al. - Deduplication algorithm based on condensed nearest neighbor rule for deduplication metadata.pdf,Deduplication algorithm based on condensed nearest neighbor rule for deduplication metadata,Journal on Communications,,
Balachandran and Constantinescu 2008 - Sequence of Hashes Compression in Data De-duplication.pdf,Sequence of Hashes Compression in Data De-duplication,Data Compression Conference (dcc 2008),2008,
Lillibridge et al. 2013 - Improving restore speed for backup systems that use inline chunk-based deduplication.pdf,Improving restore speed for backup systems that use inline chunk-based deduplication,11th ${$USENIX$}$ Conference on File and Storage Technologies (${$FAST$}$ 13),2013,Restore optimization
Lai et al. 2014 - A Near-Exact Defragmentation Scheme to Improve Restore Performance for Cloud Backup Systems.pdf,A Near-Exact Defragmentation Scheme to Improve Restore Performance for Cloud Backup Systems,Algorithms and Architectures for Parallel Processing,2014,Restore optimization
Khan et al. 2020 - A Content Fingerprint-Based Cluster-Wide Inline Deduplication for Shared-Nothing Storage Systems.pdf,A Content Fingerprint-Based Cluster-Wide Inline Deduplication for Shared-Nothing Storage Systems,IEEE Access,2020,Shared Nothing
Lee et al. 2019 - A High-Performance Processing-in-Memory Accelerator for Inline Data Deduplication.pdf,A High-Performance Processing-in-Memory Accelerator for Inline Data Deduplication,2019 IEEE 37th International Conference on Computer Design (ICCD),2019,
Li et al. 2020 - Information Leakage in Encrypted Deduplication via Frequency Analysis - Attacks and Defenses.pdf,Information Leakage in Encrypted Deduplication via Frequency Analysis: Attacks and Defenses,ACM Trans. Storage,2020,Side Channels;Frequency
Xu et al. 2019 - LIPA - A Learning-based Indexing and Prefetching Approach for Data Deduplication.pdf,LIPA: A Learning-based Indexing and Prefetching Approach for Data Deduplication,2019 35th Symposium on Mass Storage Systems and Technologies (MSST),2019,ML
Wu et al. 2017 - A cost-efficient rewriting scheme to improve restore performance in deduplication systems.pdf,A cost-efficient rewriting scheme to improve restore performance in deduplication systems,Proc. MSST,2017,Restore optimization
Won et al. 2008 - Efficient index lookup for De-duplication backup system.pdf,Efficient index lookup for De-duplication backup system,Telecommunication Systems (MASCOTS),2008,Fingerprint-Indexing
Song et al. 2013 - Exploiting fingerprint prefetching to improve the performance of data deduplication.pdf,Exploiting fingerprint prefetching to improve the performance of data deduplication,2013 IEEE International Conference on High Performance Computing and Communications (HPCC) & 2013 IEEE International Conference on Embedded and Ubiquitous Computing (EUC),2013,Fingerprint-Indexing
Kaczmarczyk and Dubnicki 2015 - Reducing fragmentation impact with forward knowledge in backup systems with deduplication.pdf,Reducing fragmentation impact with forward knowledge in backup systems with deduplication,SYSTOR 2015: International Conference on Systems and Storage,2015,Restore optimization
